survey.pages,neighborhood,meeting.location,work.needed,district,location,coordinates,budget.project,project.description,project.category,equity,workforce.entrepr,children.families,crit.infrastructure,crit.communities,grn.infrastructure,mobility,climate,arts.culture,housing,additional.priorities,budget.project.2,issue.understanding,consider.pov,voice.heard,share.stories,neighbor.engagement,future.attendance,other.issues,budget.project.3,addtl.feedback,budget.project.4
9-12,BRIGHTON HEIGHTS,NORTH SIDE,IMPROVE TENNIS COURTS AND BALLFIELDS IN OUR PARKS.  ADD SOME LIGHTS FOR EVENING PLAY,1,NORTH SIDE - MANCHESTER,"40.456415, -80.025657",FACILITY IMPROVEMENTS - SPORT FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,
9-12,BRIGHTON HEIGHTS,NORTH SIDE,IMPROVE TENNIS COURTS AND BALLFIELDS IN OUR PARKS.  ADD SOME LIGHTS FOR EVENING PLAY,1,NORTH SIDE - WEST PARK,"40.452280, -80.012278",FACILITY IMPROVEMENTS - SPORT FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,
9-12,BRIGHTON HEIGHTS,NORTH SIDE,IMPROVE TENNIS COURTS AND BALLFIELDS IN OUR PARKS.  ADD SOME LIGHTS FOR EVENING PLAY,1,NORTH SIDE - FINEVIEW,"40.461714, -80.004107",FACILITY IMPROVEMENTS - SPORT FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,
13-16,MT. OLIVER,NORTH SIDE,"REHABILITATION AND RENEWED USE OF FORMER SCHOOL BUILDING, PREFERABLY FOR COMMUNITY USE, AFTER-SCHOOL PROGRAMS, ETC.",3,"ORMSBY NEAR OTILLIA, BLOCK ALSO BORDERING ON CATHEDRAL","40.412581, -79.980799",ECONOMIC DEVELOPMENT AND HOUSING,SIDEWALKS,RAMP AND PUBLIC SIDEWALK,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,AIR QUALITY,,SOMEWHAT,SOMEWHAT,SOMEWHAT,VERY,VERY,PROBABLY YES,GENTRIFICATION + AFFORDABLE HOUSING,ECONOMIC DEVELOPMENT AND HOUSING,MORE DETAIL ON HOW MONEY IS CURRENTLY ALLOCATED IN CAPITAL BUDGET (A COUPLE GRAPHS WOULD BE NICE),
13-16,MT. OLIVER,NORTH SIDE,"DEVELOPMENT OF FORMER PUBLIC HOUSING SITE PART OF ST. CLAIR VILLAGE, FOR PUBLIC PARK OR GREEN SPACE",3,END OF FISHER ST. EAST OF MOUNTAIN AVE ADJACENT TO PARCEL BEING DEVELOPED AS URBAN FARM,"40.408757, -79.969705",ECONOMIC DEVELOPMENT AND HOUSING,AIR QUALITY,,,,,,,,,,,,WATER QUALITY,,,,,,,,TRANSPORTATION,,,
13-16,MT. OLIVER,NORTH SIDE,NEW SIDEWALK ON CITY-OWNED PROPERTY,3,"FISHER ST. WEST OF MOUNTAIN AVE, BOTH SIDES UP TO BURR ST.","40.411496, -79.977830",RAMP AND PUBLIC SIDEWALK,WATER QUALITY,,,,,,,,,,,,MIXED INCOME NEIGHBORHOODS,,,,,,,,,,,
13-16,MT. OLIVER,NORTH SIDE,"NEIGHBORHOOD PARK IN MT. OLIVER/ST. CLAIR (NEW), WITH RESPONSIBILITY HELD BY CITIPARKS FOR MGMT + MAINTENANCE",3,POSSIBLY AT CORNER OF MOUNTAIN AVE + FISHER ST. (ON PROPERTY CURRENTLY USED AS A NON-CITY PARK SPACE),"40.411760, -79.977419",PARK RECONSTRUCTION,EQUITY IN INFRASTRUCTURE + ECONOMIC DEVELOPMENT ACROSS CITY,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,PUBLIC GOOD THAT IS SIDEWALKS AS CITY RESPONSIBILITY,RAMP AND PUBLIC SIDEWALK,,,,,,,,,,
13-16,MT. OLIVER,NORTH SIDE,,,,,,"INVESTMENT IN WORKFORCE + ENTREPRENEURSHIP, LOCALLY GROWN (AND LESS ON IMPORTED CORPORATIONS)",ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,,,,
17-20,[BLANK],NORTH SIDE,"WYOMING, VIRGINIA, SOUTHER INTERSECTION",2,MT. WASHINGTON,"40.428921, -80.006366",COMPLETE STREETS,"SAFETY LIGHTING, AS ABOVE (LOW PRIORITY COMPARED TO…AFFORDABLE/LMI HOUSING) AND FOR COMING YEARS!",STREET LIGHTS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,"THIS IS A GOOD LIST, BUT A MATRIX WOULD BE BETTER - THESE PRIORITIES CROSS MOST BUDGET ITEMS - ADD THE SAFETY COMPONENT MORE CLEARLY",,SOMEWHAT,A LITTLE,VERY,VERY,VERY,DEFINITELY YES,"BETTER COMMUNICATION REGARDING UPCOMING PROJECTS (NOT ACTIVITIES) THAT ARE HAPPENING, OR HAPPENING SOON - COORDINATING RE: PROJECT IMPLEMENTATION",,THIS FORUM WOULD HAVE BEEN BETTER IF THE LET'S SAY TOP FIVE PROJECTS AS SELECTED BY THE MAYOR WERE ON A LIST,
17-20,[BLANK],NORTH SIDE,"KEARSAGE, VIRGINIA INTERSECTION",2,MT. WASHINGTON,"40.431152, -80.010601",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
17-20,[BLANK],NORTH SIDE,COMPLETE REDESIGN GRANDVIEW AVE TO POINT OF VIEW,2,DUQUESNE HEIGHTS,"40.434239, -80.011217",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
17-20,[BLANK],NORTH SIDE,SAFETY NIGHT LIGHTING,CITY-WIDE,EVERYWHERE,,STREET LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,
21-24,BRIGHTON HEIGHTS,NORTH SIDE,,,,,,RECREATION AND PLAY AREAS IN POORER COMMUNITIES,PLAY AREA IMPROVEMENTS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,"THE PLACEMENT OF COMMUNITY RESOURCES WILL BE A MOOT POINT IF WE DON'T MODERNIZE OUR TRANSPORTATION INFRASTRUCTURE.  ALTHOUGH THE PORT AUTHORITY IS A COUNTY SYSTEM, CITY DWELLERS RELY VERY HEAVILY ON IT AND BEAR THE BRUNT OF POLLUTION, CONGESTION, ETC. AND THE SYSTEMS/GOVTS NEED TO WORK TOGETHER BETTER.",,SOMEWHAT,A LITTLE,SOMEWHAT,VERY,SOMEWHAT,PROBABLY YES,OPERATING BUDGET,,THIS GROUPING OF PEOPLE WAS VERY HOMOGENOUS AND NOT REPRESENTATIVE OF THE COMMUNITY; GREATER EFFORTS NEED TO BE MADE TO GET A GREATER CROSS-SECTION OF DEMOGRAPHICS,
21-24,BRIGHTON HEIGHTS,NORTH SIDE,,,,,,"BETTER LIGHTING IN ""HIGH CRIME AREAS""",STREET LIGHTS,,,,,,,,,,,,,,,,,,,ZONING CHANGES,,,
21-24,BRIGHTON HEIGHTS,NORTH SIDE,,,,,,AFFORDABLE/FAIR HOUSING THROUGHOUT THE CITY,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,VISION/GOAL SETTING,,,
21-24,BRIGHTON HEIGHTS,NORTH SIDE,,,,,,IMPROVEMENTS TO EXISTING HOUSING STOCK,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,,,,
25-28,CALBRIDE PLACE,NORTH SIDE,"WIFI ""MESH NETWORK""",CITY-WIDE,AROUND DEED-RESTRICTED AFFORDABLE UNITS AND/OR IN 50% AMI TRACTS(?),,,"NEIGHBORHOOD OR COMMUNITY GROUP ""ADOPTION"" OF CITY PARK ASSETS (E.G. BALLFIELDS, PARKS, GARDENS)",PARK RECONSTRUCTION,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,NOT IMPORTANT,IMPORTANT,NOT IMPORTANT,IMPORTANT,IMPORTANT,WHERE IS RESTORATION INFRASTRUCTURE?,,A LITTLE,SOMEWHAT,NOT AT ALL,A LITTLE,NOT AT ALL,,"I THINK YOU SHOULD HAVE MORE VISABILITY AROUND DIGITAL ALLOCATION OPTIONS AND VIRTUAL, A-SYNCHRONOUS OPTIONS - MEETINGS ARE HARD",,WHERE DOES ONE TRACK FROM PAPER/APPROVAL TO PROJECT COMPLETION?,
25-28,CALBRIDE PLACE,NORTH SIDE,PRESERVATION OF DEED-RESTRICTED UNITS,CITY-WIDE,ALL,,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,MORE REHAB/LESS NEW,,,,,,,,,,,
25-28,CALBRIDE PLACE,NORTH SIDE,SIDEWALK GAPS,6,"BRIGHTON RD, CALIFORNIA TO NORTH","40.457044, -80.015702",RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,,,LAST MILE HOME ESP. LOW-INCOME NGBS.,COMPLETE STREETS,,,,,,,,,,
25-28,CALBRIDE PLACE,NORTH SIDE,DO NOT RAISE THE RR BRIDGES/OVERPASSES,1,TRACK LINE NEXT TO WEST PARK COMMONS,"40.451644, -80.010635",BRIDGE REPAIRS,,,,,,,,,,,,,,,,,,,,,,,,
29-32,SHADYSIDE,NORTH SIDE,TRAFFIC PATTERNS,8,SHADY AVE (AND EVERYWHERE),"40.439059, -79.919503",COMPLETE STREETS,LOVE THE EFFORT TO RECLAIM SPACES,,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SUPPORTING LOCAL: LOCAL SMALL BUSINESS,ECONOMIC DEVELOPMENT AND HOUSING,SOMEWHAT,VERY,VERY,SOMEWHAT,SOMEWHAT,PROBABLY YES,DIVERSITY IN VOICES/REPRESENTATION,,,
29-32,SHADYSIDE,NORTH SIDE,,,,,,AFFORDABLE HOUSING WITHIN ALL DEVELOPMENT PROJECTS,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,KEEPING PEOPLE IN THEIR HOMES,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,SUSTAINABILITY,,,
29-32,SHADYSIDE,NORTH SIDE,,,,,,SIDEWALKS AND ACCESSIBILITY - TRANSPORTATION IDEAS THAT CONNECT THE CITY,RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,ACCESSIBILITY IN LOCAL AREA,COMPLETE STREETS,,,,,,,"ENCOURAGING RESIDENTS TO STAY THROUGH CITY PROJECTS, ETC.",,,
29-32,SHADYSIDE,NORTH SIDE,,,,,,SUPPORT LOCAL BUSINESSES,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,LOCAL REPRESENTATION + LEADERSHIP,ACCBO,,,,,,,,,,
33-36,ALLEGHENY CENTER,NORTH SIDE,REPAIR TO THE UNDERSIDE OF THE BRIDGE ON MERCHANT - IT IS SCARY TO WALK UNDER THERE!,1,MERCHANT ST + SCOTLAND,"40.449274, -80.008730",BRIDGE REPAIRS,TRAFFIC PATTERNS + MERGE POINTS ARE TERRIBLE AROUND THE CITY.  I'M ANXIOUS TO SEE HOW IMPROVEMENTS WILL BE MADE CONSIDERING THE NEW POSITION MENTIONED DURING THE PANEL DISCUSSION.,COMPLETE STREETS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,THE LIST IS SUFFICIENT; IT'S IMPORTANT TO SEE HOW IT'S IMPLEMENTED,,SOMEWHAT,SOMEWHAT,VERY,VERY,VERY,PROBABLY YES,HOW TO MAKE SURE PREVIOUSLY AND CURRENTLY UNDER-REPRESENTED COMMUNITIES HAVE A VOICE,ACCBO,"THANKS FOR HOLDING THIS, I APPRECIATE THE DBF PROCESS",
33-36,ALLEGHENY CENTER,NORTH SIDE,MORE TRASH CANS AROUND RING ROAD,1,COMMONS/RING ROAD,"40.453909, -80.006142",LITTER CAN UPGRADES,,,,,,,,,,,,,,,,,,,,,,,,
33-36,ALLEGHENY CENTER,NORTH SIDE,STREET REPAIR AROUND FOSTER SQUARE,1,FOSTER SQUARE,"40.451470, -80.008111",STREET RESURFACING,,,,,,,,,,,,,,,,,,,,,,,,
37-40,ALLEGHENY CENTER,NORTH SIDE,LIGHTING IN PARK NEAR MERCHANT ST,1,MERCHANT ST + RIDGE RD,"40.451801, -80.009643",STREET LIGHTS,CONTINUED DEVELOPMENT OF COMPLETE STREETS AND ADDRESS GAP SIDEWALKS,COMPLETE STREETS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,,,SOMEWHAT,VERY,SOMEWHAT,VERY,VERY,DEFINITELY YES,HOW TO ALLOW DEVELOPMENT AND ENTREPRENEURSHIP IN A WAY THAT TRULY BENEFITS EVERYONE,ECONOMIC DEVELOPMENT AND HOUSING ,,
37-40,ALLEGHENY CENTER,NORTH SIDE,REPAIR TO RAILROAD BRIDGE OVER MERCHANT ST,1,MERCHANT + SCOTLAND,"40.449900, -80.008943",BRIDGE REPAIRS,,,,,,,,,,,,,,,,,,,,,,,,
37-40,ALLEGHENY CENTER,NORTH SIDE,TWO WAY TRAFFIC & STREET REPAVING,1,"N, S, E, W COMMONS","40.452976, -80.003653",STREET RESURFACING,,,,,,,,,,,,,,,,,,,,,,,,
37-40,ALLEGHENY CENTER,NORTH SIDE,"REPAIRING RESTORATION OF FOSTER SQUARE (THE ROAD, NOT THE COMMUNITY)",1,FOSTER SQUARE + RIDGE,"40.452036, -80.008490",STREET RESURFACING,,,,,,,,,,,,,,,,,,,,,,,,
41-44,TROY HILL,NORTH SIDE,RIALTO RESTRICTIONS EITHER ONLY UP OR DOWN,1,RIALTO ST.,"40.465620, -79.981018",COMPLETE STREETS,BETTER LIGHTING IN LOW INCOME AREAS,STREET LIGHTS,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,ENSURING THAT ALL PGHers HAVE EQUAL ACCESS TO AMENITIES IN AN INCREASINGLY UNAFFORADBLE CITY,,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,PROBABLY YES,SPECIFICALLY HOUSING/INVESTMENT,ECONOMIC DEVELOPMENT AND HOUSING,STOP GIVING MORE MONEY TO RICH NEIGHBORHOODS,
41-44,TROY HILL,NORTH SIDE,"BIG, POTENTIAL LANDSLIDE",1,WALKWAY BEHIND OLD REC CENTER,"40.458157, -79.989782",SLOPE FAILURE,SIDEWALKS,RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,,,,,,,,,TRANSPORTATION,,,
41-44,TROY HILL,NORTH SIDE,PAVE WICKLINES,1,WICKLINES ST.,"40.466436, -79.983759",STREET RESURFACING,,,,,,,,,,,,,,,,,,,,,,,,
41-44,TROY HILL,NORTH SIDE,SAGGING TELELPHONE POLES EVERYWHERE - VERY SCARY!,1,SPECIFICALLY HERMAN ST.,"40.461103, -79.986023",STREET LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,
45-48,FRIENDSHIP,NORTH SIDE,,,,,,I THINK TRANSPORTATION NEEDS TO BE A VERY HIGH PRIORITY.  THESE WOULD RESOLVE MANY ADDITIONAL ISSUES AND APPEAL TO NEW RESIDENTS INCREASING THE TAX REVENUE.  MORE OPPORTUNITY = MORE APPEALING CITY,,IMPORANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,"ALTERNATIVE TRASNPORT, ELECTRIC CAR SHARE, TRAINS, TROLLY, ELECTRIC BUSES",,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,DEFINITELY YES,,,,
49-52,SPRING HILL,NORTH SIDE,WALTZ STREET SIDEWALK + ROAD SURFACE IS NOT SAFE TO ACCESS PAT BUS STOPS,1,WALTZ STREET BETWEEN HOMER + RHINE ST,"40.464476, -79.991132",STREET RESURFACING,TRANSPORTATION BETWEEN COMMUNITIES; I.E. SPRING HILL TO OAKLAND,,IMPORANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,NOT IMPORTANT,IMPORTANT,NOT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,,,SOMEWHAT,VERY,SOMEWHAT,VERY,VERY,DEFINITELY YES,,,,
53-56,SHADYSIDE,NORTH SIDE,,,,,,A PROGRAM OR SOMETHING THAT WILL ALLOW FAMILIES/CHILDREN IN NEED IN LOW INCOME AREAS THAT ALLOW THEM TO GET THE FOUNDATIONAL ITEMS THEY NEED,UNSPECIFIED LOCAL OPTION,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,,,VERY,VERY,SOMEWHAT,VERY,VERY,DEFINITELY YES,DIVERSITY WITHIN PITTSBURGH + WHAT WE ARE DOING,,,
57-60,CENTRAL NORTH SIDE,NORTH SIDE,"NORTH AVENUE TRAFFIC STUDY/REDEVELOPMENT - SIGNAGE, LIGHTING, PAVING, SIDEWALKS, ETC.",1,NORTH AVE FROM BRIGHTON TO EAST STREET,"40.455089, -80.008664",COMPLETE STREETS,MAKING IT EASIER TO GET FROM ONE NEIGHBORHOOD TO ANOTHER - ACCESSIBILITY BETWEEN GEOGRAPHICAL AREAS,,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,CLEAR AIR/LESS POLLUTION,,VERY,VERY,VERY,VERY,VERY,DEFINITELY YES,,,MORE THAN 2 SESSIONS,
61-64,CENTRAL NORTH SIDE,NORTH SIDE,"W. NORTH AVE REDEVELOPMENT - PAVE, SIDEWALK REPAIR, LIGHTING, WAYFINDING",1,NORTH/FEDERAL,"40.455492, -80.006649",ECONOMIC DEVELOPMENT AND HOUSING,,,IMPORTANT,SOMEWHAT IMPORTANT,NOT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,NOT IMPORTANT,IMPORTANT,IMPORTANT,[BLANK],[BLANK],"NONE, THERE ARE FAR TOO MANY!",,A LITTLE,VERY,SOMEWHAT,VERY,A LITTLE,PROBABLY YES,BETTER UNDERSTANDING OF THE RANGE OF PROJECTS THAT HAVEEN UNDERTAKEN PREVIOUSLY,,,
65-68,CRAFTON HEIGHTS,NORTH SIDE,"CROSSWALK AND SIDEWALK IMPROVEMENTS; TRAFFIC CALMING, SPEEDING AND PASSING IN SCHOOL ZONE",2,"CHARTIERS AVE NEAR DUBOIS, IN FRONT OF PGH GIFTED/FORMER GREENWAY MS","40.451379, -80.050420",COMPLETE STREETS,ACCESS IMPROVEMENT: TECHNOLOGY & TRANSPORTATION, ,IMPORTANT,NOT IMPORTANT,NOT IMPORTANT,IMPORTANT,NOT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IT'S AN EXCELLENT LIST TO SHAPE THE CONVERSATION AND SHOW COMMITMENT TO ALL STAKEHOLDERS,,[BLANK],SOMEWHAT,A LITTLE,VERY,SOMEWHAT,DEFINITELY YES,,,HOW CAN WE IMPROVE EDUCATION OF RESIDENTS ON THINGS LIKE 311 + BUDGETING + THESE TYPES OF MEETING OPPORTUNITIES?,
65-68,CRAFTON HEIGHTS,NORTH SIDE,MULTIMODAL INFRASTRUCTURE + TRAFFIC CALMING PAVEMENT MARKINGS,2,W. CASON ST FROM W. END CIR TO MCKEES ROCKS,"40.448180, -80.033543",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
65-68,CRAFTON HEIGHTS,NORTH SIDE,PEDESTRIAN SIGNAGE,2,W. END CIRCLE RAMP FROM W. CARSON INBOUND,"40.443827, -80.027664",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
65-68,CRAFTON HEIGHTS,NORTH SIDE,"CONTINUED PLANNING, INFRASTRUCTURE, AND WAYFINDING",2,SHERADEN PARK,"40.458095, -80.059366",PARK RECONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,
69-72,CARRICK,NORTH SIDE,COMPLETE RENOVATION OF THE PHILLIPS PARK SHELTER HOUSE,4,PARKFIELD ST.,"40.391521, -79.991057",PARK RECONSTRUCTION,FOCUS ON THE RECREATION CENTERS ACROSS THE CITY,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,NOT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,,,SOMEWHAT,SOMEWHAT,A LITTLE,VERY,VERY,DEFINITELY YES,BLIGHTED PROPERTIES ACROSS THE CITY,REMEDIATION OF CONDEMNED BUILDINGS,,
69-72,CARRICK,NORTH SIDE,CONDEMNED PROPERTIES,4,CARRICK BERG PLACE,"40.386272, -79.978798",REMEDIATION OF CONDEMNED BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,
